,time,nodes,edges,best_w,iterations,T0,alpha
230,279.718962,1024,5120,976.0,100,500,0.99
231,278.936692,1024,5120,976.0,100,1000,0.9
232,277.260506,1024,5120,991.0,100,1000,0.95
233,278.141907,1024,5120,973.0,100,1000,0.99
234,307.901994,1024,5120,699.0,1000,100,0.9
235,303.364324,1024,5120,712.0,1000,100,0.95
236,307.559257,1024,5120,711.0,1000,100,0.99
237,306.078151,1024,5120,690.0,1000,500,0.9
238,307.657887,1024,5120,706.0,1000,500,0.95
239,305.771984,1024,5120,727.0,1000,500,0.99
240,306.875284,1024,5120,701.0,1000,1000,0.9
241,307.090244,1024,5120,708.0,1000,1000,0.95
242,308.329717,1024,5120,737.0,1000,1000,0.99
243,0.027142,64,192,47.0,10,100,0.9
244,0.026741,64,192,47.0,10,100,0.95
245,0.027007,64,192,47.0,10,100,0.99
246,0.025951,64,192,47.0,10,500,0.9
247,0.027577,64,192,47.0,10,500,0.95
248,0.02683,64,192,47.0,10,500,0.99
249,0.025181,64,192,47.0,10,1000,0.9
250,0.027553,64,192,47.0,10,1000,0.95
251,0.026362,64,192,47.0,10,1000,0.99
252,0.109453,64,192,43.0,100,100,0.9
253,0.121874,64,192,47.0,100,100,0.95
254,0.123241,64,192,47.0,100,100,0.99
255,0.109537,64,192,44.0,100,500,0.9
256,0.12304,64,192,47.0,100,500,0.95
257,0.111866,64,192,47.0,100,500,0.99
258,0.106417,64,192,44.0,100,1000,0.9
259,0.117309,64,192,47.0,100,1000,0.95
260,0.115669,64,192,47.0,100,1000,0.99
261,0.59197,64,192,35.0,1000,100,0.9
262,0.617136,64,192,34.0,1000,100,0.95
263,0.835192,64,192,35.0,1000,100,0.99
264,0.604789,64,192,33.0,1000,500,0.9
265,0.607542,64,192,34.0,1000,500,0.95
266,0.834002,64,192,36.0,1000,500,0.99
267,0.600058,64,192,35.0,1000,1000,0.9
268,0.61207,64,192,34.0,1000,1000,0.95
269,0.953643,64,192,37.0,1000,1000,0.99
